函数名,调用数,已用非独占时间百分比,已用独占时间百分比,平均已用非独占时间,平均已用独占时间,模块名,
"H_compute","1,000",58.66,58.66,2.39,2.39,"SSE-yu.exe",
"Ez_vector_body","1,000",40.05,40.05,1.63,1.63,"SSE-yu.exe",
"Bd_proc_left_right","1,000",0.76,0.76,0.03,0.03,"SSE-yu.exe",
"?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QEAA_JPEBD_J@Z",10,0.11,0.11,0.46,0.46,"MSVCP140.dll",
"compute",1,99.70,0.10,"4,062.33",3.97,"SSE-yu.exe",
"Bd_proc_up","1,000",0.08,0.08,0.00,0.00,"SSE-yu.exe",
"H_Init",1,0.06,0.06,2.51,2.48,"SSE-yu.exe",
"Bd_proc_down","1,000",0.06,0.06,0.00,0.00,"SSE-yu.exe",
"??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QEAAAEAV01@M@Z",5,0.04,0.04,0.35,0.35,"MSVCP140.dll",
"Ez_Init",1,0.06,0.03,2.55,1.20,"SSE-yu.exe",
"??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QEAAAEAV01@H@Z",3,0.02,0.02,0.29,0.29,"MSVCP140.dll",
"?_Fiopen@std@@YAPEAU_iobuf@@PEBDHH@Z",3,0.01,0.01,0.15,0.15,"MSVCP140.dll",
"mainCRTStartup",1,100.00,0.01,"4,074.59",0.33,"SSE-yu.exe",
"?put@?$basic_ostream@DU?$char_traits@D@std@@@std@@QEAAAEAV12@D@Z",10,0.00,0.00,0.01,0.01,"MSVCP140.dll",
"fclose",3,0.00,0.00,0.04,0.04,"ucrtbase.dll",
"_aligned_malloc",3,0.00,0.00,0.01,0.01,"ucrtbase.dll",
"File_Init",1,0.02,0.00,0.70,0.04,"SSE-yu.exe",
"__scrt_common_main_seh",1,99.99,0.00,"4,074.26",0.03,"SSE-yu.exe",
"?_Getcat@?$codecvt@DDU_Mbstatet@@@std@@SA_KPEAPEBVfacet@locale@2@PEBV42@@Z",1,0.00,0.00,0.03,0.03,"MSVCP140.dll",
"malloc",8,0.00,0.00,0.00,0.00,"ucrtbase.dll",
"pre_cpp_initialization",1,0.00,0.00,0.03,0.02,"SSE-yu.exe",
"?uncaught_exception@std@@YA_NXZ",10,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"pre_c_initialization",1,0.00,0.00,0.01,0.01,"SSE-yu.exe",
"??5?$basic_istream@DU?$char_traits@D@std@@@std@@QEAAAEAV01@P6AAEAV01@AEAV01@@Z@Z",10,0.00,0.00,0.02,0.00,"MSVCP140.dll",
"?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QEAAAEAV12@XZ",10,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::operator<<<std::char_traits<char> >",10,0.11,0.00,0.46,0.00,"SSE-yu.exe",
"?widen@?$basic_ios@DU?$char_traits@D@std@@@std@@QEBADD@Z",10,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::basic_fstream<char,std::char_traits<char> >::basic_fstream<char,std::char_traits<char> >",2,0.00,0.00,0.01,0.00,"SSE-yu.exe",
"?getloc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QEBA?AVlocale@2@XZ",3,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::basic_filebuf<char,std::char_traits<char> >::_Init",8,0.00,0.00,0.00,0.00,"SSE-yu.exe",
"Init_check",1,0.12,0.00,4.78,0.01,"SSE-yu.exe",
"_set_new_mode",1,0.00,0.00,0.01,0.01,"SSE-yu.exe",
"??0?$basic_iostream@DU?$char_traits@D@std@@@std@@QEAA@PEAV?$basic_streambuf@DU?$char_traits@D@std@@@1@@Z",2,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"??1?$basic_iostream@DU?$char_traits@D@std@@@std@@UEAA@XZ",2,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"[MSVCP140.dll]",10,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"[MSVCP140.dll]",1,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"Boundary_Init",1,0.00,0.00,0.03,0.00,"SSE-yu.exe",
"std::endl<char,std::char_traits<char> >",10,0.00,0.00,0.02,0.00,"SSE-yu.exe",
"_onexit",2,0.00,0.00,0.00,0.00,"SSE-yu.exe",
"Input",1,0.29,0.00,11.84,0.00,"SSE-yu.exe",
"[MSVCP140.dll]",10,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QEAAXXZ",10,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"??1?$basic_streambuf@DU?$char_traits@D@std@@@std@@UEAA@XZ",2,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"??0_Lockit@std@@QEAA@H@Z",3,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QEAAXH_N@Z",10,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"__security_check_cookie",15,0.00,0.00,0.00,0.00,"SSE-yu.exe",
"std::basic_fstream<char,std::char_traits<char> >::close",3,0.00,0.00,0.04,0.00,"SSE-yu.exe",
"std::basic_filebuf<char,std::char_traits<char> >::open",3,0.01,0.00,0.17,0.00,"SSE-yu.exe",
"??Bid@locale@std@@QEAA_KXZ",3,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"?_Init@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEAAXXZ",8,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::`dynamic atexit destructor for '_Fac_tidy_reg''",1,0.00,0.00,0.01,0.00,"SSE-yu.exe",
"std::_Fac_node::`scalar deleting destructor'",1,0.00,0.00,0.00,0.00,"SSE-yu.exe",
"GetModuleHandleW",1,0.00,0.00,0.00,0.00,"KERNEL32.DLL",
"??1?$basic_ios@DU?$char_traits@D@std@@@std@@UEAA@XZ",2,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"?always_noconv@codecvt_base@std@@QEBA_NXZ",3,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"__scrt_is_managed_app",1,0.00,0.00,0.00,0.00,"SSE-yu.exe",
"std::use_facet<std::codecvt<char,char,_Mbstatet> >",3,0.00,0.00,0.01,0.00,"SSE-yu.exe",
"??0?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEAA@XZ",2,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"__isa_available_init",1,0.00,0.00,0.00,0.00,"SSE-yu.exe",
"?clear@?$basic_ios@DU?$char_traits@D@std@@@std@@QEAAXH_N@Z",3,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::basic_filebuf<char,std::char_traits<char> >::~basic_filebuf<char,std::char_traits<char> >",2,0.00,0.00,0.00,0.00,"SSE-yu.exe",
"_get_stream_buffer_pointers",3,0.00,0.00,0.00,0.00,"ucrtbase.dll",
"?_Decref@facet@locale@std@@UEAAPEAV_Facet_base@3@XZ",4,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"__security_init_cookie",1,0.00,0.00,0.00,0.00,"SSE-yu.exe",
"??0?$basic_ios@DU?$char_traits@D@std@@@std@@IEAA@XZ",2,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"??1_Lockit@std@@QEAA@XZ",3,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"operator new",1,0.00,0.00,0.00,0.00,"SSE-yu.exe",
"main",1,99.99,0.00,"4,074.17",0.00,"SSE-yu.exe",
"std::basic_filebuf<char,std::char_traits<char> >::_Endwrite",3,0.00,0.00,0.00,0.00,"SSE-yu.exe",
"__scrt_initialize_crt",1,0.00,0.00,0.00,0.00,"SSE-yu.exe",
"__scrt_acquire_startup_lock",1,0.00,0.00,0.00,0.00,"SSE-yu.exe",
