函数名,调用数,已用非独占时间百分比,已用独占时间百分比,平均已用非独占时间,平均已用独占时间,模块名,
"H_cmp","1,000",59.52,59.52,6.17,6.17,"SSE-V3.exe",
"Ez_cmp","1,000",39.81,39.81,4.13,4.13,"SSE-V3.exe",
"Bd_proc_left_right","1,000",0.35,0.35,0.04,0.04,"SSE-V3.exe",
"Bd_proc_down","1,000",0.06,0.06,0.01,0.01,"SSE-V3.exe",
"std::ctype<unsigned short>::toupper",11,0.06,0.06,0.52,0.52,"MSVCP140.dll",
"H_Init",1,0.05,0.04,4.69,4.65,"SSE-V3.exe",
"Bd_proc_up","1,000",0.04,0.04,0.00,0.00,"SSE-V3.exe",
"compute",1,99.83,0.04,"10,353.95",3.82,"SSE-V3.exe",
"Ez_Init",1,0.06,0.02,6.07,2.58,"SSE-V3.exe",
"std::basic_ostream<char,std::char_traits<char> >::operator<<",5,0.02,0.02,0.31,0.31,"MSVCP140.dll",
"std::basic_ostream<char,std::char_traits<char> >::operator<<",4,0.01,0.01,0.38,0.38,"MSVCP140.dll",
"Boundary_MUR1","1,000",0.46,0.01,0.05,0.00,"SSE-V3.exe",
"std::_Fiopen",2,0.00,0.00,0.17,0.17,"MSVCP140.dll",
"mainCRTStartup",1,100.00,0.00,"10,371.17",0.24,"SSE-V3.exe",
"std::basic_ostream<char,std::char_traits<char> >::put",9,0.00,0.00,0.01,0.01,"MSVCP140.dll",
"fclose",2,0.00,0.00,0.04,0.04,"ucrtbase.dll",
"_aligned_malloc",3,0.00,0.00,0.02,0.02,"ucrtbase.dll",
"std::uncaught_exception",11,0.00,0.00,0.01,0.01,"MSVCP140.dll",
"pre_cpp_initialization",1,0.00,0.00,0.04,0.03,"SSE-V3.exe",
"__scrt_common_main_seh",1,100.00,0.00,"10,370.93",0.03,"SSE-V3.exe",
"std::codecvt<char,char,_Mbstatet>::_Getcat",1,0.00,0.00,0.03,0.03,"MSVCP140.dll",
"Input",1,0.16,0.00,16.86,0.02,"SSE-V3.exe",
"__scrt_is_managed_app",1,0.00,0.00,0.02,0.02,"SSE-V3.exe",
"malloc",8,0.00,0.00,0.00,0.00,"ucrtbase.dll",
"std::basic_istream<wchar_t,std::char_traits<wchar_t> >::operator>>",9,0.00,0.00,0.02,0.00,"MSVCP140.dll",
"pre_c_initialization",1,0.00,0.00,0.01,0.01,"SSE-V3.exe",
"_set_new_mode",1,0.00,0.00,0.01,0.01,"SSE-V3.exe",
"std::operator<<<std::char_traits<char> >",11,0.06,0.00,0.53,0.00,"SSE-V3.exe",
"Boundary_Init",1,0.00,0.00,0.03,0.01,"SSE-V3.exe",
"File_Init",1,0.00,0.00,0.49,0.01,"SSE-V3.exe",
"std::basic_ostream<char,std::char_traits<char> >::flush",9,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"__scrt_initialize_crt",1,0.00,0.00,0.01,0.01,"SSE-V3.exe",
"std::basic_ios<char,std::char_traits<char> >::widen",9,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::basic_filebuf<char,std::char_traits<char> >::_Init",5,0.00,0.00,0.00,0.00,"SSE-V3.exe",
"std::basic_streambuf<char,std::char_traits<char> >::getloc",2,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::basic_fstream<char,std::char_traits<char> >::basic_fstream<char,std::char_traits<char> >",1,0.00,0.00,0.01,0.00,"SSE-V3.exe",
"std::basic_iostream<char,std::char_traits<char> >::~basic_iostream<char,std::char_traits<char> >",1,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::codecvt_base::`vector deleting destructor'",1,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::basic_iostream<char,std::char_traits<char> >::basic_iostream<char,std::char_traits<char> >",1,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::basic_filebuf<char,std::char_traits<char> >::_Lock",11,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::endl<char,std::char_traits<char> >",9,0.00,0.00,0.02,0.00,"SSE-V3.exe",
"_onexit",2,0.00,0.00,0.00,0.00,"SSE-V3.exe",
"Init_check",1,0.05,0.00,5.13,0.00,"SSE-V3.exe",
"std::basic_ios<char,std::char_traits<char> >::setstate",11,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::basic_ostream<char,std::char_traits<char> >::_Osfx",11,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::basic_filebuf<char,std::char_traits<char> >::_Unlock",11,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::_Fac_node::`scalar deleting destructor'",1,0.00,0.00,0.01,0.00,"SSE-V3.exe",
