函数名,调用数,已用非独占时间百分比,已用独占时间百分比,平均已用非独占时间,平均已用独占时间,模块名,
"H_cmp","3,000",59.28,59.28,4.58,4.58,"SSE-V3.exe",
"Ez_cmp","3,000",39.98,39.98,3.09,3.09,"SSE-V3.exe",
"Bd_proc_left_right","3,000",0.47,0.47,0.04,0.04,"SSE-V3.exe",
"Bd_proc_down","3,000",0.07,0.07,0.01,0.01,"SSE-V3.exe",
"Bd_proc_up","3,000",0.06,0.06,0.00,0.00,"SSE-V3.exe",
"compute",1,99.92,0.05,"23,180.40",12.26,"SSE-V3.exe",
"H_Init",1,0.02,0.02,5.48,5.42,"SSE-V3.exe",
"std::ctype<unsigned short>::toupper",11,0.02,0.02,0.41,0.41,"MSVCP140.dll",
"Ez_Init",1,0.02,0.01,4.71,2.86,"SSE-V3.exe",
"std::basic_ostream<char,std::char_traits<char> >::operator<<",5,0.01,0.01,0.40,0.40,"MSVCP140.dll",
"std::basic_ostream<char,std::char_traits<char> >::operator<<",4,0.01,0.01,0.32,0.32,"MSVCP140.dll",
"Boundary_MUR1","3,000",0.61,0.00,0.05,0.00,"SSE-V3.exe",
"mainCRTStartup",1,100.00,0.00,"23,198.47",1.02,"SSE-V3.exe",
"std::_Fiopen",1,0.00,0.00,0.25,0.25,"MSVCP140.dll",
"std::basic_ostream<char,std::char_traits<char> >::put",9,0.00,0.00,0.03,0.03,"MSVCP140.dll",
"_aligned_malloc",3,0.00,0.00,0.02,0.02,"ucrtbase.dll",
"fclose",1,0.00,0.00,0.05,0.05,"ucrtbase.dll",
"malloc",8,0.00,0.00,0.01,0.01,"ucrtbase.dll",
"File_Init",1,0.00,0.00,0.39,0.04,"SSE-V3.exe",
"__scrt_common_main_seh",1,100.00,0.00,"23,197.45",0.03,"SSE-V3.exe",
"pre_cpp_initialization",1,0.00,0.00,0.04,0.03,"SSE-V3.exe",
"std::uncaught_exception",11,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"__scrt_is_managed_app",1,0.00,0.00,0.03,0.03,"SSE-V3.exe",
"std::codecvt<char,char,_Mbstatet>::_Getcat",1,0.00,0.00,0.02,0.02,"MSVCP140.dll",
"std::basic_istream<wchar_t,std::char_traits<wchar_t> >::operator>>",9,0.00,0.00,0.03,0.00,"MSVCP140.dll",
"Boundary_Init",1,0.00,0.00,0.05,0.01,"SSE-V3.exe",
"std::operator<<<std::char_traits<char> >",11,0.02,0.00,0.42,0.00,"SSE-V3.exe",
"std::basic_ostream<char,std::char_traits<char> >::flush",9,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::basic_filebuf<char,std::char_traits<char> >::_Init",3,0.00,0.00,0.00,0.00,"SSE-V3.exe",
"pre_c_initialization",1,0.00,0.00,0.01,0.01,"SSE-V3.exe",
"_set_new_mode",1,0.00,0.00,0.01,0.01,"SSE-V3.exe",
"std::basic_ios<char,std::char_traits<char> >::widen",9,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"__scrt_initialize_crt",1,0.00,0.00,0.01,0.01,"SSE-V3.exe",
"std::basic_iostream<char,std::char_traits<char> >::basic_iostream<char,std::char_traits<char> >",1,0.00,0.00,0.01,0.01,"MSVCP140.dll",
"Init_check",1,0.03,0.00,5.94,0.00,"SSE-V3.exe",
"std::basic_filebuf<char,std::char_traits<char> >::_Lock",11,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::basic_streambuf<char,std::char_traits<char> >::getloc",1,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::basic_ostream<char,std::char_traits<char> >::_Osfx",11,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::codecvt_base::`vector deleting destructor'",1,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::basic_iostream<char,std::char_traits<char> >::~basic_iostream<char,std::char_traits<char> >",1,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::endl<char,std::char_traits<char> >",9,0.00,0.00,0.03,0.00,"SSE-V3.exe",
"Input",1,0.07,0.00,16.93,0.00,"SSE-V3.exe",
"_onexit",2,0.00,0.00,0.00,0.00,"SSE-V3.exe",
"std::basic_streambuf<char,std::char_traits<char> >::~basic_streambuf<char,std::char_traits<char> >",1,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::basic_filebuf<char,std::char_traits<char> >::_Unlock",11,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::basic_ios<char,std::char_traits<char> >::setstate",12,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"GetModuleHandleWStub",1,0.00,0.00,0.00,0.00,"KERNEL32.DLL",
"std::basic_ios<char,std::char_traits<char> >::~basic_ios<char,std::char_traits<char> >",1,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::basic_fstream<char,std::char_traits<char> >::basic_fstream<char,std::char_traits<char> >",1,0.00,0.00,0.02,0.00,"SSE-V3.exe",
"std::_Fac_node::`scalar deleting destructor'",1,0.00,0.00,0.01,0.00,"SSE-V3.exe",
"_get_stream_buffer_pointers",1,0.00,0.00,0.00,0.00,"ucrtbase.dll",
"__security_check_cookie",6,0.00,0.00,0.00,0.00,"SSE-V3.exe",
"__isa_available_init",1,0.00,0.00,0.00,0.00,"SSE-V3.exe",
"std::locale::facet::_Decref",2,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::`dynamic atexit destructor for '_Fac_tidy_reg''",1,0.00,0.00,0.01,0.00,"SSE-V3.exe",
"std::basic_streambuf<char,std::char_traits<char> >::basic_streambuf<char,std::char_traits<char> >",1,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::basic_filebuf<char,std::char_traits<char> >::open",2,0.00,0.00,0.14,0.00,"SSE-V3.exe",
"__security_init_cookie",1,0.00,0.00,0.00,0.00,"SSE-V3.exe",
"std::basic_ios<char,std::char_traits<char> >::basic_ios<char,std::char_traits<char> >",1,0.00,0.00,0.00,0.00,"MSVCP140.dll",
